"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Year","Week","StartDate","EndDate"
"1","Colombo","52","03","02","01","00","01","00","03",2007,4,2007-01-20,2007-01-26
"2","Gampaha","12","04","01","01","00","01","04","04",2007,4,2007-01-20,2007-01-26
"3","Kalutara","15","08","00","02","00","03","00","02",2007,4,2007-01-20,2007-01-26
"4","Kandy","17","03","00","03","01","03","03","04",2007,4,2007-01-20,2007-01-26
"5","Matale","04","01","02","00","00","01","00","02",2007,4,2007-01-20,2007-01-26
"6","NuwaraEliya","03","02","00","06","00","00","02","11",2007,4,2007-01-20,2007-01-26
"7","Galle","03","00","00","00","00","00","01","00",2007,4,2007-01-20,2007-01-26
"8","Hambanthota","01","00","00","00","00","01","01","01",2007,4,2007-01-20,2007-01-26
"9","Matara","04","05","00","01","00","01","05","00",2007,4,2007-01-20,2007-01-26
"10","Jaffna","00","00","00","00","00","00","00","00",2007,4,2007-01-20,2007-01-26
"11","Kilinochchi","00","00","00","00","00","00","00","00",2007,4,2007-01-20,2007-01-26
"12","Mannar","00","04","00","02","00","00","00","01",2007,4,2007-01-20,2007-01-26
"13","Vavuniya","02","02","00","01","01","00","00","00",2007,4,2007-01-20,2007-01-26
"14","Mullaitivu","00","00","00","00","00","00","00","00",2007,4,2007-01-20,2007-01-26
"15","Batticaloa","00","04","01","03","00","00","00","03",2007,4,2007-01-20,2007-01-26
"16","Ampara","00","00","00","00","00","00","00","00",2007,4,2007-01-20,2007-01-26
"17","Trincomalee","02","03","00","03","00","00","00","02",2007,4,2007-01-20,2007-01-26
"18","Kurunagala","06","01","00","05","00","00","03","00",2007,4,2007-01-20,2007-01-26
"19","Puttalam","08","02","00","00","00","00","00","00",2007,4,2007-01-20,2007-01-26
"20","Anuradhapura","02","01","00","00","00","00","01","00",2007,4,2007-01-20,2007-01-26
"21","Polonnaruwa","02","03","00","00","00","01","00","00",2007,4,2007-01-20,2007-01-26
"22","Badulla","01","13","00","01","00","00","01","08",2007,4,2007-01-20,2007-01-26
"23","Monaragala","03","06","00","02","00","00","01","00",2007,4,2007-01-20,2007-01-26
"24","Ratnapura","02","05","00","03","00","01","00","01",2007,4,2007-01-20,2007-01-26
"25","Kegalle","05","02","00","01","00","08","00","03",2007,4,2007-01-20,2007-01-26
"26","Kalmune","00","02","00","00","00","00","00","06",2007,4,2007-01-20,2007-01-26
