"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Human Rabies","Chickenpox","Meningitis","Leishmaniasis","Year","Week","StartDate","EndDate"
"1","Colombo","233","1","1","2","1","4","0","0","0","10","0","0",2019,23,2019-06-01,2019-06-07
"2","Gampaha","141","3","2","0","0","3","0","0","0","4","0","0",2019,23,2019-06-01,2019-06-07
"3","Kalutara","99","0","1","0","3","8","0","0","0","8","2","0",2019,23,2019-06-01,2019-06-07
"4","Kandy","64","2","1","0","1","2","3","0","0","6","0","6",2019,23,2019-06-01,2019-06-07
"5","Matale","8","1","0","0","0","0","0","0","0","1","0","2",2019,23,2019-06-01,2019-06-07
"6","NuwaraEliya","5","15","0","0","0","3","6","0","0","5","1","0",2019,23,2019-06-01,2019-06-07
"7","Galle","278","0","0","0","1","6","1","1","0","6","1","0",2019,23,2019-06-01,2019-06-07
"8","Hambanthota","20","1","1","0","0","5","0","0","0","3","1","11",2019,23,2019-06-01,2019-06-07
"9","Matara","42","0","0","0","2","12","0","2","0","10","1","4",2019,23,2019-06-01,2019-06-07
"10","Jaffna","14","8","2","1","10","0","0","0","0","5","2","0",2019,23,2019-06-01,2019-06-07
"11","Kilinochchi","4","1","0","0","0","1","1","0","0","0","0","0",2019,23,2019-06-01,2019-06-07
"12","Mannar","1","0","0","0","0","0","0","0","0","0","0","0",2019,23,2019-06-01,2019-06-07
"13","Vavuniya","1","0","0","0","0","0","0","0","0","0","0","0",2019,23,2019-06-01,2019-06-07
"14","Mullaitivu","0","0","0","0","0","0","0","0","0","0","0","0",2019,23,2019-06-01,2019-06-07
"15","Batticaloa","22","4","0","0","0","0","0","0","0","5","0","0",2019,23,2019-06-01,2019-06-07
"16","Ampara","3","13","0","0","1","0","0","0","0","8","0","0",2019,23,2019-06-01,2019-06-07
"17","Trincomalee","24","0","0","0","0","0","0","0","0","8","0","0",2019,23,2019-06-01,2019-06-07
"18","Kurunagala","31","1","1","0","0","4","0","0","0","12","3","20",2019,23,2019-06-01,2019-06-07
"19","Puttalam","13","0","0","0","1","3","1","0","0","6","0","1",2019,23,2019-06-01,2019-06-07
"20","Anuradhapura","12","3","1","0","0","1","0","1","0","2","2","4",2019,23,2019-06-01,2019-06-07
"21","Polonnaruwa","9","1","0","0","0","3","0","0","0","9","0","6",2019,23,2019-06-01,2019-06-07
"22","Badulla","14","0","0","1","11","3","2","0","0","6","4","1",2019,23,2019-06-01,2019-06-07
"23","Monaragala","9","2","1","0","0","0","0","1","0","9","5","2",2019,23,2019-06-01,2019-06-07
"24","Ratnapura","78","0","1","0","0","16","0","0","0","1","0","2",2019,23,2019-06-01,2019-06-07
"25","Kegalle","36","0","0","0","0","5","2","0","0","4","2","1",2019,23,2019-06-01,2019-06-07
"26","Kalmune","11","0","0","0","0","0","0","0","0","2","0","0",2019,23,2019-06-01,2019-06-07
