"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Human Rabies","Year","Week","StartDate","EndDate"
"1","Colombo","61","5","0","6","0","25","0","4","0",2009,35,2009-08-22,2009-08-28
"2","Gampaha","76","4","0","0","0","12","0","31","1",2009,35,2009-08-22,2009-08-28
"3","Kalutara","10","4","0","0","0","7","0","1","0",2009,35,2009-08-22,2009-08-28
"4","Kandy","32","3","0","00","1","2","2","8","0",2009,35,2009-08-22,2009-08-28
"5","Matale","19","2","0","0","0","1","0","5","0",2009,35,2009-08-22,2009-08-28
"6","NuwaraEliya","2","4","0","2","0","2","2","3","0",2009,35,2009-08-22,2009-08-28
"7","Galle","9","0","0","0","0","5","0","2","1",2009,35,2009-08-22,2009-08-28
"8","Hambanthota","9","1","0","0","1","1","1","0","0",2009,35,2009-08-22,2009-08-28
"9","Matara","17","2","0","0","0","4","3","1","0",2009,35,2009-08-22,2009-08-28
"10","Jaffna","0","0","0","0","0","0","0","0","0",2009,35,2009-08-22,2009-08-28
"11","Kilinochchi","0","0","0","0","0","0","0","0","0",2009,35,2009-08-22,2009-08-28
"12","Mannar","1","1","0","4","0","0","0","3","0",2009,35,2009-08-22,2009-08-28
"13","Vavuniya","0","0","0","15","0","0","0","0","0",2009,35,2009-08-22,2009-08-28
"14","Mullaitivu","0","0","0","0","0","0","0","0","0",2009,35,2009-08-22,2009-08-28
"15","Batticaloa","1","1","0","0","0","0","0","0","0",2009,35,2009-08-22,2009-08-28
"16","Ampara","1","0","0","0","0","0","0","0","0",2009,35,2009-08-22,2009-08-28
"17","Trincomalee","1","1","1","1","0","0","0","2","0",2009,35,2009-08-22,2009-08-28
"18","Kurunagala","48","1","0","1","0","2","3","2","0",2009,35,2009-08-22,2009-08-28
"19","Puttalam","12","0","0","0","0","2","0","1","0",2009,35,2009-08-22,2009-08-28
"20","Anuradhapura","5","2","0","0","0","0","0","10","0",2009,35,2009-08-22,2009-08-28
"21","Polonnaruwa","0","5","0","0","0","1","0","3","0",2009,35,2009-08-22,2009-08-28
"22","Badulla","4","5","0","1","0","1","1","3","0",2009,35,2009-08-22,2009-08-28
"23","Monaragala","2","7","0","0","1","0","1","3","0",2009,35,2009-08-22,2009-08-28
"24","Ratnapura","30","3","0","0","0","4","1","5","0",2009,35,2009-08-22,2009-08-28
"25","Kegalle","29","0","0","0","0","2","0","6","0",2009,35,2009-08-22,2009-08-28
"26","Kalmune","6","1","0","0","0","0","0","1","0",2009,35,2009-08-22,2009-08-28
