"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Year","Week","StartDate","EndDate"
"1","Colombo","49","03","00","10","04","05","01","00",2007,47,2007-11-17,2007-11-23
"2","Gampaha","41","01","00","02","00","12","01","09",2007,47,2007-11-17,2007-11-23
"3","Kalutara","14","08","00","06","00","16","00","02",2007,47,2007-11-17,2007-11-23
"4","Kandy","05","09","00","02","00","19","00","10",2007,47,2007-11-17,2007-11-23
"5","Matale","01","02","00","02","00","07","00","00",2007,47,2007-11-17,2007-11-23
"6","NuwaraEliya","00","01","00","00","00","00","00","07",2007,47,2007-11-17,2007-11-23
"7","Galle","01","02","00","00","00","07","00","00",2007,47,2007-11-17,2007-11-23
"8","Hambanthota","03","01","00","00","00","00","01","00",2007,47,2007-11-17,2007-11-23
"9","Matara","10","04","01","02","00","08","03","00",2007,47,2007-11-17,2007-11-23
"10","Jaffna","08","01","00","04","00","00","05","00",2007,47,2007-11-17,2007-11-23
"11","Kilinochchi","00","00","00","00","00","00","00","00",2007,47,2007-11-17,2007-11-23
"12","Mannar","00","01","00","02","00","00","00","00",2007,47,2007-11-17,2007-11-23
"13","Vavuniya","02","04","00","00","02","00","00","03",2007,47,2007-11-17,2007-11-23
"14","Mullaitivu","00","00","00","00","00","00","00","00",2007,47,2007-11-17,2007-11-23
"15","Batticaloa","00","00","00","00","00","00","00","09",2007,47,2007-11-17,2007-11-23
"16","Ampara","00","00","00","00","00","00","00","00",2007,47,2007-11-17,2007-11-23
"17","Trincomalee","04","10","00","01","02","00","01","03",2007,47,2007-11-17,2007-11-23
"18","Kurunagala","07","11","00","01","00","05","00","02",2007,47,2007-11-17,2007-11-23
"19","Puttalam","31","02","00","00","01","01","00","00",2007,47,2007-11-17,2007-11-23
"20","Anuradhapura","01","04","00","00","00","01","01","01",2007,47,2007-11-17,2007-11-23
"21","Polonnaruwa","03","11","00","01","00","01","00","00",2007,47,2007-11-17,2007-11-23
"22","Badulla","00","13","00","01","00","00","01","07",2007,47,2007-11-17,2007-11-23
"23","Monaragala","00","01","00","00","03","01","00","00",2007,47,2007-11-17,2007-11-23
"24","Ratnapura","09","12","00","05","00","01","02","01",2007,47,2007-11-17,2007-11-23
"25","Kegalle","13","08","00","00","00","07","04","02",2007,47,2007-11-17,2007-11-23
"26","Kalmune","00","00","00","00","00","00","00","01",2007,47,2007-11-17,2007-11-23
