"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Human Rabies","Year","Week","StartDate","EndDate"
"1","Colombo","80","4","0","2","0","28","1","3","0",2009,44,2009-10-24,2009-10-30
"2","Gampaha","41","3","0","0","0","21","0","4","0",2009,44,2009-10-24,2009-10-30
"3","Kalutara","16","5","0","5","0","15","0","0","0",2009,44,2009-10-24,2009-10-30
"4","Kandy","25","9","0","2","0","8","1","5","0",2009,44,2009-10-24,2009-10-30
"5","Matale","35","3","1","1","6","0","0","0","0",2009,44,2009-10-24,2009-10-30
"6","NuwaraEliya","2","3","0","2","0","0","2","2","0",2009,44,2009-10-24,2009-10-30
"7","Galle","10","3","0","0","30","1","0","0","1",2009,44,2009-10-24,2009-10-30
"8","Hambanthota","15","1","0","0","0","6","0","0","0",2009,44,2009-10-24,2009-10-30
"9","Matara","6","2","1","0","0","4","2","2","0",2009,44,2009-10-24,2009-10-30
"10","Jaffna","0","1","0","2","0","0","0","0","0",2009,44,2009-10-24,2009-10-30
"11","Kilinochchi","0","0","0","0","0","0","0","0","0",2009,44,2009-10-24,2009-10-30
"12","Mannar","0","3","0","7","15","0","0","1","0",2009,44,2009-10-24,2009-10-30
"13","Vavuniya","16","5","0","5","0","1","0","0","0",2009,44,2009-10-24,2009-10-30
"14","Mullaitivu","0","0","0","0","0","0","0","0","0",2009,44,2009-10-24,2009-10-30
"15","Batticaloa","4","8","0","0","2","0","0","2","0",2009,44,2009-10-24,2009-10-30
"16","Ampara","4","9","0","0","0","0","0","2","0",2009,44,2009-10-24,2009-10-30
"17","Trincomalee","1","7","0","0","0","1","0","3","0",2009,44,2009-10-24,2009-10-30
"18","Kurunagala","29","5","0","3","0","6","0","2","0",2009,44,2009-10-24,2009-10-30
"19","Puttalam","11","3","0","0","7","2","0","0","0",2009,44,2009-10-24,2009-10-30
"20","Anuradhapura","1","0","0","0","0","0","0","0","0",2009,44,2009-10-24,2009-10-30
"21","Polonnaruwa","1","4","0","0","0","0","0","1","0",2009,44,2009-10-24,2009-10-30
"22","Badulla","4","11","0","1","0","0","3","4","0",2009,44,2009-10-24,2009-10-30
"23","Monaragala","1","6","0","0","1","0","0","2","1",2009,44,2009-10-24,2009-10-30
"24","Ratnapura","7","13","0","2","2","4","0","4","1",2009,44,2009-10-24,2009-10-30
"25","Kegalle","33","2","0","3","0","8","0","3","0",2009,44,2009-10-24,2009-10-30
"26","Kalmune","1","0","0","0","0","0","0","0","0",2009,44,2009-10-24,2009-10-30
