"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Year","Week","StartDate","EndDate"
"1","Colombo","15","07","00","01","00","00","00","00",2007,19,2007-05-05,2007-05-11
"2","Gampaha","03","04","00","01","01","00","00","00",2007,19,2007-05-05,2007-05-11
"3","Kalutara","08","19","00","02","01","01","00","00",2007,19,2007-05-05,2007-05-11
"4","Kandy","01","09","00","01","00","00","02","04",2007,19,2007-05-05,2007-05-11
"5","Matale","00","05","00","00","00","00","00","02",2007,19,2007-05-05,2007-05-11
"6","NuwaraEliya","01","07","00","02","00","00","00","05",2007,19,2007-05-05,2007-05-11
"7","Galle","00","03","01","00","00","01","00","00",2007,19,2007-05-05,2007-05-11
"8","Hambanthota","01","02","00","00","00","02","00","00",2007,19,2007-05-05,2007-05-11
"9","Matara","02","05","00","00","03","04","01","00",2007,19,2007-05-05,2007-05-11
"10","Jaffna","00","00","00","00","00","00","00","00",2007,19,2007-05-05,2007-05-11
"11","Kilinochchi","00","00","00","00","00","00","00","00",2007,19,2007-05-05,2007-05-11
"12","Mannar","00","00","00","02","00","00","00","00",2007,19,2007-05-05,2007-05-11
"13","Vavuniya","00","00","00","00","00","00","00","00",2007,19,2007-05-05,2007-05-11
"14","Mullaitivu","00","00","00","00","00","00","00","00",2007,19,2007-05-05,2007-05-11
"15","Batticaloa","05","99","03","00","00","00","00","17",2007,19,2007-05-05,2007-05-11
"16","Ampara","00","01","00","00","00","00","00","01",2007,19,2007-05-05,2007-05-11
"17","Trincomalee","00","12","00","00","00","01","00","02",2007,19,2007-05-05,2007-05-11
"18","Kurunagala","03","15","00","00","08","00","00","00",2007,19,2007-05-05,2007-05-11
"19","Puttalam","01","01","00","04","00","00","00","01",2007,19,2007-05-05,2007-05-11
"20","Anuradhapura","04","03","00","00","00","01","00","00",2007,19,2007-05-05,2007-05-11
"21","Polonnaruwa","00","01","00","00","00","00","00","02",2007,19,2007-05-05,2007-05-11
"22","Badulla","00","22","00","02","00","00","07","12",2007,19,2007-05-05,2007-05-11
"23","Monaragala","01","06","01","01","08","02","01","00",2007,19,2007-05-05,2007-05-11
"24","Ratnapura","04","08","01","03","00","01","00","02",2007,19,2007-05-05,2007-05-11
"25","Kegalle","06","08","00","03","00","00","00","02",2007,19,2007-05-05,2007-05-11
"26","Kalmune","00","04","00","01","00","00","00","01",2007,19,2007-05-05,2007-05-11
