"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Human Rabies","Chickenpox","Meningitis","Leishmaniasis","Year","Week","StartDate","EndDate"
"1","Colombo","1972","0","0","0","0","2","1","0","0","4","0","0",2017,29,2017-07-15,2017-07-21
"2","Gampaha","2471","0","0","0","0","1","0","1","0","1","0","0",2017,29,2017-07-15,2017-07-21
"3","Kalutara","660","1","0","0","4","1","0","0","0","12","4","0",2017,29,2017-07-15,2017-07-21
"4","Kandy","922","1","0","0","0","0","1","0","0","2","0","1",2017,29,2017-07-15,2017-07-21
"5","Matale","183","1","0","0","0","0","0","0","0","0","3","1",2017,29,2017-07-15,2017-07-21
"6","NuwaraEliya","71","0","0","0","0","2","3","1","0","12","1","0",2017,29,2017-07-15,2017-07-21
"7","Galle","261","0","0","1","0","8","2","0","0","9","1","0",2017,29,2017-07-15,2017-07-21
"8","Hambanthota","147","0","1","0","0","1","5","0","0","4","0","4",2017,29,2017-07-15,2017-07-21
"9","Matara","458","1","0","0","0","5","0","0","0","9","0","4",2017,29,2017-07-15,2017-07-21
"10","Jaffna","93","8","0","1","0","0","1","0","0","3","0","0",2017,29,2017-07-15,2017-07-21
"11","Kilinochchi","20","1","0","0","0","0","0","0","0","0","0","0",2017,29,2017-07-15,2017-07-21
"12","Mannar","3","0","0","1","1","0","0","0","0","0","0","0",2017,29,2017-07-15,2017-07-21
"13","Vavuniya","16","0","0","2","0","0","0","0","0","0","0","0",2017,29,2017-07-15,2017-07-21
"14","Mullaitivu","19","0","0","0","0","3","0","0","0","1","0","0",2017,29,2017-07-15,2017-07-21
"15","Batticaloa","85","3","0","0","1","1","0","0","0","2","0","0",2017,29,2017-07-15,2017-07-21
"16","Ampara","50","1","0","0","0","2","0","0","0","5","2","0",2017,29,2017-07-15,2017-07-21
"17","Trincomalee","42","0","0","0","1","1","0","0","0","1","0","1",2017,29,2017-07-15,2017-07-21
"18","Kurunagala","569","1","0","0","0","3","0","0","0","8","2","8",2017,29,2017-07-15,2017-07-21
"19","Puttalam","285","1","0","0","0","1","0","0","0","1","4","0",2017,29,2017-07-15,2017-07-21
"20","Anuradhapura","172","0","0","0","0","3","0","0","1","6","3","4",2017,29,2017-07-15,2017-07-21
"21","Polonnaruwa","56","0","0","0","0","0","0","0","0","3","0","0",2017,29,2017-07-15,2017-07-21
"22","Badulla","290","4","0","0","0","5","3","1","0","16","3","1",2017,29,2017-07-15,2017-07-21
"23","Monaragala","155","0","0","0","0","2","7","0","0","3","1","1",2017,29,2017-07-15,2017-07-21
"24","Ratnapura","728","2","0","0","0","7","0","0","0","3","3","0",2017,29,2017-07-15,2017-07-21
"25","Kegalle","807","1","0","0","0","2","5","1","0","9","0","2",2017,29,2017-07-15,2017-07-21
"26","Kalmune","55","0","0","0","0","1","0","0","0","0","2","0",2017,29,2017-07-15,2017-07-21
