"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Human Rabies","Chickenpox","Meningitis","Leishmaniasis","Year","Week","StartDate","EndDate"
"1","Colombo","320","3","0","0","2","7","0","0","0","11","1","0",2017,45,2017-11-04,2017-11-10
"2","Gampaha","249","1","0","2","6","9","1","1","0","4","0","1",2017,45,2017-11-04,2017-11-10
"3","Kalutara","134","2","0","2","0","18","0","1","0","2","2","0",2017,45,2017-11-04,2017-11-10
"4","Kandy","280","3","0","0","4","2","2","1","0","5","0","0",2017,45,2017-11-04,2017-11-10
"5","Matale","34","0","0","0","0","1","0","0","0","1","2","0",2017,45,2017-11-04,2017-11-10
"6","NuwaraEliya","8","0","0","0","0","1","2","0","0","6","1","0",2017,45,2017-11-04,2017-11-10
"7","Galle","57","1","0","0","0","10","2","0","0","2","1","0",2017,45,2017-11-04,2017-11-10
"8","Hambanthota","98","3","0","0","0","2","1","1","0","7","0","27",2017,45,2017-11-04,2017-11-10
"9","Matara","51","1","0","1","2","19","0","2","0","4","1","6",2017,45,2017-11-04,2017-11-10
"10","Jaffna","147","14","1","1","0","0","13","0","0","2","1","0",2017,45,2017-11-04,2017-11-10
"11","Kilinochchi","7","5","0","1","0","0","2","0","0","0","0","0",2017,45,2017-11-04,2017-11-10
"12","Mannar","3","3","0","1","1","0","0","0","0","0","0","0",2017,45,2017-11-04,2017-11-10
"13","Vavuniya","26","1","0","3","0","0","0","0","0","0","0","0",2017,45,2017-11-04,2017-11-10
"14","Mullaitivu","14","0","0","3","0","0","0","0","0","0","0","0",2017,45,2017-11-04,2017-11-10
"15","Batticaloa","74","6","0","0","5","1","0","0","0","0","3","0",2017,45,2017-11-04,2017-11-10
"16","Ampara","9","0","0","0","0","0","0","0","0","5","1","0",2017,45,2017-11-04,2017-11-10
"17","Trincomalee","31","0","0","0","0","3","0","0","0","4","0","0",2017,45,2017-11-04,2017-11-10
"18","Kurunagala","229","2","0","0","0","8","1","0","0","13","1","1",2017,45,2017-11-04,2017-11-10
"19","Puttalam","300","2","0","0","9","1","0","0","0","2","0","0",2017,45,2017-11-04,2017-11-10
"20","Anuradhapura","33","1","0","0","0","1","1","1","0","9","1","5",2017,45,2017-11-04,2017-11-10
"21","Polonnaruwa","24","1","0","0","0","1","0","0","1","5","0","3",2017,45,2017-11-04,2017-11-10
"22","Badulla","47","5","0","2","0","2","3","1","0","3","2","0",2017,45,2017-11-04,2017-11-10
"23","Monaragala","100","1","0","0","1","2","0","0","0","1","1","2",2017,45,2017-11-04,2017-11-10
"24","Ratnapura","105","7","1","0","0","14","0","2","0","7","0","0",2017,45,2017-11-04,2017-11-10
"25","Kegalle","67","0","1","2","2","24","2","0","0","9","0","0",2017,45,2017-11-04,2017-11-10
"26","Kalmune","60","2","0","0","4","0","0","0","0","2","0","0",2017,45,2017-11-04,2017-11-10
