"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Human Rabies","Chickenpox","Meningitis","Leishmaniasis","Year","Week","StartDate","EndDate"
"1","Colombo","371","0","1","0","0","6","0","1","0","5","2","0",2014,29,2014-07-12,2014-07-18
"2","Gampaha","91","1","1","1","1","2","0","3","0","3","3","0",2014,29,2014-07-12,2014-07-18
"3","Kalutara","84","2","0","1","1","2","1","0","0","0","1","0",2014,29,2014-07-12,2014-07-18
"4","Kandy","63","1","1","1","1","1","0","4","0","3","0","0",2014,29,2014-07-12,2014-07-18
"5","Matale","14","0","0","0","0","2","0","0","0","0","2","0",2014,29,2014-07-12,2014-07-18
"6","NuwaraEliya","14","1","0","0","0","0","3","0","0","2","0","0",2014,29,2014-07-12,2014-07-18
"7","Galle","46","1","0","0","0","2","1","0","0","2","2","0",2014,29,2014-07-12,2014-07-18
"8","Hambanthota","18","1","0","0","0","1","0","1","0","0","1","0",2014,29,2014-07-12,2014-07-18
"9","Matara","25","0","1","0","0","1","2","1","0","1","1","2",2014,29,2014-07-12,2014-07-18
"10","Jaffna","33","5","1","0","0","0","0","0","0","2","2","0",2014,29,2014-07-12,2014-07-18
"11","Kilinochchi","1","0","0","1","0","0","0","0","0","0","1","0",2014,29,2014-07-12,2014-07-18
"12","Mannar","4","0","0","0","0","0","1","0","0","0","0","0",2014,29,2014-07-12,2014-07-18
"13","Vavuniya","8","0","1","2","0","0","0","0","0","0","0","0",2014,29,2014-07-12,2014-07-18
"14","Mullaitivu","0","0","0","0","0","0","0","0","0","1","0","0",2014,29,2014-07-12,2014-07-18
"15","Batticaloa","12","8","0","1","0","0","0","0","0","2","0","0",2014,29,2014-07-12,2014-07-18
"16","Ampara","1","0","0","0","0","0","0","0","0","0","0","0",2014,29,2014-07-12,2014-07-18
"17","Trincomalee","10","0","0","0","0","1","0","0","0","2","0","0",2014,29,2014-07-12,2014-07-18
"18","Kurunagala","66","0","1","0","0","0","0","0","0","6","3","1",2014,29,2014-07-12,2014-07-18
"19","Puttalam","14","5","0","0","0","0","0","0","0","0","2","0",2014,29,2014-07-12,2014-07-18
"20","Anuradhapura","8","1","0","0","2","1","0","0","0","4","1","2",2014,29,2014-07-12,2014-07-18
"21","Polonnaruwa","16","0","0","0","0","2","0","0","0","3","1","2",2014,29,2014-07-12,2014-07-18
"22","Badulla","8","1","0","1","0","1","2","1","0","0","2","0",2014,29,2014-07-12,2014-07-18
"23","Monaragala","12","3","0","0","0","0","3","0","0","2","0","1",2014,29,2014-07-12,2014-07-18
"24","Ratnapura","89","8","0","0","0","4","3","7","0","1","1","0",2014,29,2014-07-12,2014-07-18
"25","Kegalle","42","1","0","1","0","2","0","4","0","3","1","0",2014,29,2014-07-12,2014-07-18
"26","Kalmune","0","0","0","0","0","0","0","0","0","1","0","0",2014,29,2014-07-12,2014-07-18
