"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Human Rabies","Chickenpox","Meningitis","Leishmaniasis","Year","Week","StartDate","EndDate"
"1","Colombo","139","7","0","3","3","0","0","0","0","3","3","0",2013,46,2013-11-09,2013-11-15
"2","Gampaha","44","2","1","1","0","7","0","3","0","5","0","0",2013,46,2013-11-09,2013-11-15
"3","Kalutara","24","2","0","1","1","5","0","1","0","6","1","0",2013,46,2013-11-09,2013-11-15
"4","Kandy","16","0","0","0","0","2","0","1","0","4","0","0",2013,46,2013-11-09,2013-11-15
"5","Matale","7","8","0","0","0","1","0","1","0","0","0","1",2013,46,2013-11-09,2013-11-15
"6","NuwaraEliya","4","4","0","1","0","0","1","0","0","3","0","0",2013,46,2013-11-09,2013-11-15
"7","Galle","14","3","0","0","0","5","0","1","0","2","1","0",2013,46,2013-11-09,2013-11-15
"8","Hambanthota","4","3","0","0","0","1","1","1","0","0","1","5",2013,46,2013-11-09,2013-11-15
"9","Matara","7","3","0","1","0","1","2","1","0","0","0","2",2013,46,2013-11-09,2013-11-15
"10","Jaffna","7","7","0","3","1","0","1","0","0","3","1","0",2013,46,2013-11-09,2013-11-15
"11","Kilinochchi","1","2","0","0","0","0","0","0","0","0","0","0",2013,46,2013-11-09,2013-11-15
"12","Mannar","0","0","0","0","0","0","0","0","0","0","0","0",2013,46,2013-11-09,2013-11-15
"13","Vavuniya","0","1","0","1","0","1","0","0","0","0","0","1",2013,46,2013-11-09,2013-11-15
"14","Mullaitivu","1","0","0","0","0","0","0","1","0","0","0","0",2013,46,2013-11-09,2013-11-15
"15","Batticaloa","0","4","0","0","0","0","0","0","0","0","0","0",2013,46,2013-11-09,2013-11-15
"16","Ampara","2","3","0","0","0","1","0","1","0","1","0","0",2013,46,2013-11-09,2013-11-15
"17","Trincomalee","0","3","0","0","0","0","0","0","0","1","0","0",2013,46,2013-11-09,2013-11-15
"18","Kurunagala","21","4","0","1","0","26","1","0","0","9","1","2",2013,46,2013-11-09,2013-11-15
"19","Puttalam","13","0","0","0","0","0","0","0","0","1","0","0",2013,46,2013-11-09,2013-11-15
"20","Anuradhapura","4","0","0","0","3","2","1","0","0","0","1","6",2013,46,2013-11-09,2013-11-15
"21","Polonnaruwa","9","1","0","0","2","5","0","2","0","6","0","0",2013,46,2013-11-09,2013-11-15
"22","Badulla","6","2","0","0","1","1","3","0","0","2","0","0",2013,46,2013-11-09,2013-11-15
"23","Monaragala","2","4","0","1","0","1","0","7","0","3","0","0",2013,46,2013-11-09,2013-11-15
"24","Ratnapura","9","3","1","0","1","6","1","14","0","4","1","0",2013,46,2013-11-09,2013-11-15
"25","Kegalle","19","1","0","0","0","13","0","5","0","5","2","0",2013,46,2013-11-09,2013-11-15
"26","Kalmune","1","5","0","0","0","1","0","0","0","2","0","0",2013,46,2013-11-09,2013-11-15
