"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Human Rabies","Year","Week","StartDate","EndDate"
"1","Colombo","77","5","0","5","0","2","0","0","0",2011,5,2011-01-29,2011-02-04
"2","Gampaha","16","1","0","0","0","6","1","2","0",2011,5,2011-01-29,2011-02-04
"3","Kalutara","13","2","0","1","0","3","0","0","0",2011,5,2011-01-29,2011-02-04
"4","Kandy","7","22","0","1","0","2","4","2","0",2011,5,2011-01-29,2011-02-04
"5","Matale","2","1","0","0","0","1","0","0","0",2011,5,2011-01-29,2011-02-04
"6","NuwaraEliya","4","2","1","0","12","2","8","0","0",2011,5,2011-01-29,2011-02-04
"7","Galle","4","1","0","0","3","1","1","1","0",2011,5,2011-01-29,2011-02-04
"8","Hambanthota","2","0","0","0","0","0","1","0","0",2011,5,2011-01-29,2011-02-04
"9","Matara","3","0","0","1","0","5","0","0","0",2011,5,2011-01-29,2011-02-04
"10","Jaffna","10","1","1","9","0","0","10","0","0",2011,5,2011-01-29,2011-02-04
"11","Kilinochchi","0","0","0","0","0","0","0","0","0",2011,5,2011-01-29,2011-02-04
"12","Mannar","1","0","0","0","0","0","0","0","0",2011,5,2011-01-29,2011-02-04
"13","Vavuniya","1","1","0","3","0","1","0","0","0",2011,5,2011-01-29,2011-02-04
"14","Mullaitivu","0","1","0","0","0","0","0","0","0",2011,5,2011-01-29,2011-02-04
"15","Batticaloa","5","8","0","0","0","0","0","0","0",2011,5,2011-01-29,2011-02-04
"16","Ampara","0","1","0","0","0","3","0","0","0",2011,5,2011-01-29,2011-02-04
"17","Trincomalee","1","0","0","1","0","0","0","0","0",2011,5,2011-01-29,2011-02-04
"18","Kurunagala","14","2","0","5","11","8","4","0","0",2011,5,2011-01-29,2011-02-04
"19","Puttalam","31","4","0","1","1","0","1","0","0",2011,5,2011-01-29,2011-02-04
"20","Anuradhapura","1","2","0","0","0","0","0","0","0",2011,5,2011-01-29,2011-02-04
"21","Polonnaruwa","1","1","0","0","0","1","0","0","0",2011,5,2011-01-29,2011-02-04
"22","Badulla","6","4","0","1","0","1","1","0","0",2011,5,2011-01-29,2011-02-04
"23","Monaragala","3","3","0","0","0","2","0","0","0",2011,5,2011-01-29,2011-02-04
"24","Ratnapura","5","7","0","2","0","1","0","1","0",2011,5,2011-01-29,2011-02-04
"25","Kegalle","5","2","0","0","1","1","0","3","0",2011,5,2011-01-29,2011-02-04
"26","Kalmune","0","1","0","0","0","0","0","0","0",2011,5,2011-01-29,2011-02-04
