"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Human Rabies","Year","Week","StartDate","EndDate"
"1","Colombo","135","8","0","9","0","5","0","4","0",2011,33,2011-08-13,2011-08-19
"2","Gampaha","63","0","0","1","0","4","0","7","0",2011,33,2011-08-13,2011-08-19
"3","Kalutara","15","3","0","1","0","1","0","0","0",2011,33,2011-08-13,2011-08-19
"4","Kandy","19","4","0","0","0","6","0","0","0",2011,33,2011-08-13,2011-08-19
"5","Matale","8","4","0","0","0","1","0","0","0",2011,33,2011-08-13,2011-08-19
"6","NuwaraEliya","1","1","0","2","0","6","2","0","0",2011,33,2011-08-13,2011-08-19
"7","Galle","22","3","0","0","0","2","0","1","0",2011,33,2011-08-13,2011-08-19
"8","Hambanthota","6","1","0","0","0","5","3","0","0",2011,33,2011-08-13,2011-08-19
"9","Matara","4","0","0","1","0","4","0","1","0",2011,33,2011-08-13,2011-08-19
"10","Jaffna","12","6","0","1","0","0","1","0","0",2011,33,2011-08-13,2011-08-19
"11","Kilinochchi","1","0","0","0","0","0","0","0","0",2011,33,2011-08-13,2011-08-19
"12","Mannar","1","0","0","1","0","0","0","0","0",2011,33,2011-08-13,2011-08-19
"13","Vavuniya","1","0","1","0","0","4","0","0","0",2011,33,2011-08-13,2011-08-19
"14","Mullaitivu","0","2","0","0","0","0","0","0","0",2011,33,2011-08-13,2011-08-19
"15","Batticaloa","0","3","0","0","0","0","0","0","0",2011,33,2011-08-13,2011-08-19
"16","Ampara","2","1","0","0","0","0","0","0","0",2011,33,2011-08-13,2011-08-19
"17","Trincomalee","1","2","0","0","1","3","0","0","0",2011,33,2011-08-13,2011-08-19
"18","Kurunagala","14","3","0","3","1","11","3","2","0",2011,33,2011-08-13,2011-08-19
"19","Puttalam","8","2","0","0","0","0","0","0","1",2011,33,2011-08-13,2011-08-19
"20","Anuradhapura","4","7","0","0","0","0","0","0","0",2011,33,2011-08-13,2011-08-19
"21","Polonnaruwa","5","0","0","0","0","1","0","0","0",2011,33,2011-08-13,2011-08-19
"22","Badulla","15","6","0","2","0","2","2","2","0",2011,33,2011-08-13,2011-08-19
"23","Monaragala","5","2","0","3","0","0","3","1","0",2011,33,2011-08-13,2011-08-19
"24","Ratnapura","14","3","0","1","0","4","0","1","0",2011,33,2011-08-13,2011-08-19
"25","Kegalle","14","2","0","2","0","3","1","8","0",2011,33,2011-08-13,2011-08-19
"26","Kalmune","0","4","0","0","0","0","0","0","0",2011,33,2011-08-13,2011-08-19
