"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Year","Week","StartDate","EndDate"
"1","Colombo","69","07","00","04","00","05","00","01",2007,5,2007-01-27,2007-02-02
"2","Gampaha","12","01","00","02","00","02","00","01",2007,5,2007-01-27,2007-02-02
"3","Kalutara","12","07","00","00","03","03","00","00",2007,5,2007-01-27,2007-02-02
"4","Kandy","16","03","00","02","00","00","01","02",2007,5,2007-01-27,2007-02-02
"5","Matale","04","01","01","01","00","03","01","03",2007,5,2007-01-27,2007-02-02
"6","NuwaraEliya","01","02","00","01","00","00","02","07",2007,5,2007-01-27,2007-02-02
"7","Galle","04","01","01","00","00","00","01","01",2007,5,2007-01-27,2007-02-02
"8","Hambanthota","01","04","00","00","00","01","01","00",2007,5,2007-01-27,2007-02-02
"9","Matara","06","01","00","01","01","02","05","02",2007,5,2007-01-27,2007-02-02
"10","Jaffna","00","00","00","00","00","00","00","00",2007,5,2007-01-27,2007-02-02
"11","Kilinochchi","00","00","00","01","00","00","00","00",2007,5,2007-01-27,2007-02-02
"12","Mannar","00","00","00","13","00","00","00","00",2007,5,2007-01-27,2007-02-02
"13","Vavuniya","00","00","00","02","00","00","00","00",2007,5,2007-01-27,2007-02-02
"14","Mullaitivu","00","00","00","00","00","00","00","00",2007,5,2007-01-27,2007-02-02
"15","Batticaloa","01","00","00","00","02","00","00","07",2007,5,2007-01-27,2007-02-02
"16","Ampara","00","00","00","00","00","00","00","00",2007,5,2007-01-27,2007-02-02
"17","Trincomalee","01","03","00","01","00","00","00","00",2007,5,2007-01-27,2007-02-02
"18","Kurunagala","06","02","00","01","00","00","02","00",2007,5,2007-01-27,2007-02-02
"19","Puttalam","02","01","00","03","00","01","00","01",2007,5,2007-01-27,2007-02-02
"20","Anuradhapura","02","02","00","00","00","01","00","03",2007,5,2007-01-27,2007-02-02
"21","Polonnaruwa","01","02","01","00","00","01","00","00",2007,5,2007-01-27,2007-02-02
"22","Badulla","01","08","00","00","00","01","01","04",2007,5,2007-01-27,2007-02-02
"23","Monaragala","00","03","00","00","00","00","01","00",2007,5,2007-01-27,2007-02-02
"24","Ratnapura","03","02","00","00","01","01","00","02",2007,5,2007-01-27,2007-02-02
"25","Kegalle","02","03","00","02","00","04","01","03",2007,5,2007-01-27,2007-02-02
"26","Kalmune","00","00","00","01","00","00","00","03",2007,5,2007-01-27,2007-02-02
