"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Human Rabies","Chickenpox","Meningitis","Leishmaniasis","Year","Week","StartDate","EndDate"
"1","Colombo","836","1","0","2","0","1","0","0","0","8","0","0",2017,32,2017-08-05,2017-08-11
"2","Gampaha","918","1","0","0","0","1","0","2","0","1","0","0",2017,32,2017-08-05,2017-08-11
"3","Kalutara","310","2","0","1","0","4","0","0","0","12","1","0",2017,32,2017-08-05,2017-08-11
"4","Kandy","670","0","1","1","0","5","3","0","1","9","1","0",2017,32,2017-08-05,2017-08-11
"5","Matale","150","0","2","0","0","0","0","0","0","2","1","0",2017,32,2017-08-05,2017-08-11
"6","NuwaraEliya","49","1","0","2","0","3","1","1","0","2","1","0",2017,32,2017-08-05,2017-08-11
"7","Galle","233","1","2","0","0","7","0","0","0","11","2","1",2017,32,2017-08-05,2017-08-11
"8","Hambanthota","116","0","0","0","0","2","0","0","0","0","1","2",2017,32,2017-08-05,2017-08-11
"9","Matara","329","0","0","0","0","3","0","0","0","5","1","3",2017,32,2017-08-05,2017-08-11
"10","Jaffna","65","4","0","0","0","0","0","0","0","8","1","0",2017,32,2017-08-05,2017-08-11
"11","Kilinochchi","12","0","0","0","0","0","0","0","0","0","1","0",2017,32,2017-08-05,2017-08-11
"12","Mannar","0","0","0","0","0","0","0","0","0","0","0","0",2017,32,2017-08-05,2017-08-11
"13","Vavuniya","11","0","0","0","0","0","0","0","0","0","0","0",2017,32,2017-08-05,2017-08-11
"14","Mullaitivu","13","0","0","1","4","0","0","0","0","0","0","0",2017,32,2017-08-05,2017-08-11
"15","Batticaloa","67","5","0","0","0","0","0","0","0","1","0","0",2017,32,2017-08-05,2017-08-11
"16","Ampara","24","0","0","0","0","1","0","0","0","7","0","0",2017,32,2017-08-05,2017-08-11
"17","Trincomalee","26","2","0","0","0","0","0","0","0","2","0","1",2017,32,2017-08-05,2017-08-11
"18","Kurunagala","423","0","0","0","1","1","0","0","0","7","4","2",2017,32,2017-08-05,2017-08-11
"19","Puttalam","290","0","0","0","4","0","0","0","0","1","0","0",2017,32,2017-08-05,2017-08-11
"20","Anuradhapura","71","1","0","0","0","0","0","0","0","7","1","0",2017,32,2017-08-05,2017-08-11
"21","Polonnaruwa","20","0","0","0","0","0","0","0","0","2","0","1",2017,32,2017-08-05,2017-08-11
"22","Badulla","143","2","1","0","0","0","2","0","0","8","3","0",2017,32,2017-08-05,2017-08-11
"23","Monaragala","80","0","0","0","0","3","1","0","0","1","1","0",2017,32,2017-08-05,2017-08-11
"24","Ratnapura","445","5","0","1","0","6","0","0","0","4","0","0",2017,32,2017-08-05,2017-08-11
"25","Kegalle","431","0","0","0","0","3","0","0","0","6","1","0",2017,32,2017-08-05,2017-08-11
"26","Kalmune","41","0","0","0","0","1","0","0","0","1","2","0",2017,32,2017-08-05,2017-08-11
