"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Human Rabies","Year","Week","StartDate","EndDate"
"1","Colombo","56","05","00","01","00","13","00","00","00",2008,17,2008-04-19,2008-04-25
"2","Gampaha","23","08","00","01","00","15","01","06","00",2008,17,2008-04-19,2008-04-25
"3","Kalutara","18","05","01","00","00","15","00","02","00",2008,17,2008-04-19,2008-04-25
"4","Kandy","07","08","00","02","00","22","01","03","00",2008,17,2008-04-19,2008-04-25
"5","Matale","04","03","01","03","00","42","00","00","00",2008,17,2008-04-19,2008-04-25
"6","NuwaraEliya","01","15","00","08","00","02","00","03","00",2008,17,2008-04-19,2008-04-25
"7","Galle","05","03","00","00","00","16","00","00","00",2008,17,2008-04-19,2008-04-25
"8","Hambanthota","02","02","00","00","00","02","03","00","00",2008,17,2008-04-19,2008-04-25
"9","Matara","08","02","01","00","00","12","02","01","00",2008,17,2008-04-19,2008-04-25
"10","Jaffna","01","06","00","01","00","00","05","00","00",2008,17,2008-04-19,2008-04-25
"11","Kilinochchi","00","01","00","00","00","01","00","00","00",2008,17,2008-04-19,2008-04-25
"12","Mannar","02","00","00","01","00","00","00","00","00",2008,17,2008-04-19,2008-04-25
"13","Vavuniya","00","02","00","00","03","01","00","00","00",2008,17,2008-04-19,2008-04-25
"14","Mullaitivu","00","00","00","00","00","00","00","00","00",2008,17,2008-04-19,2008-04-25
"15","Batticaloa","07","02","00","01","01","00","00","08","00",2008,17,2008-04-19,2008-04-25
"16","Ampara","00","03","00","00","00","00","00","03","00",2008,17,2008-04-19,2008-04-25
"17","Trincomalee","05","02","00","00","00","00","00","00","00",2008,17,2008-04-19,2008-04-25
"18","Kurunagala","06","04","00","00","00","20","00","00","01",2008,17,2008-04-19,2008-04-25
"19","Puttalam","05","00","00","08","01","02","02","01","00",2008,17,2008-04-19,2008-04-25
"20","Anuradhapura","05","07","00","00","00","22","00","02","00",2008,17,2008-04-19,2008-04-25
"21","Polonnaruwa","04","04","00","02","01","02","00","00","00",2008,17,2008-04-19,2008-04-25
"22","Badulla","08","21","00","06","00","04","04","03","00",2008,17,2008-04-19,2008-04-25
"23","Monaragala","02","08","00","01","01","08","02","00","00",2008,17,2008-04-19,2008-04-25
"24","Ratnapura","03","08","00","00","00","04","00","00","00",2008,17,2008-04-19,2008-04-25
"25","Kegalle","16","04","02","06","00","10","00","22","00",2008,17,2008-04-19,2008-04-25
"26","Kalmune","01","09","00","01","00","00","00","02","00",2008,17,2008-04-19,2008-04-25
