"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Year","Week","StartDate","EndDate"
"1","Colombo","33","02","00","05","00","03","00","02",2007,33,2007-08-11,2007-08-17
"2","Gampaha","07","07","01","02","01","01","01","03",2007,33,2007-08-11,2007-08-17
"3","Kalutara","09","06","00","00","01","01","00","03",2007,33,2007-08-11,2007-08-17
"4","Kandy","04","06","00","01","00","01","03","27",2007,33,2007-08-11,2007-08-17
"5","Matale","04","06","00","01","00","03","00","02",2007,33,2007-08-11,2007-08-17
"6","NuwaraEliya","00","11","00","02","01","00","00","17",2007,33,2007-08-11,2007-08-17
"7","Galle","00","02","00","01","00","01","00","00",2007,33,2007-08-11,2007-08-17
"8","Hambanthota","04","15","00","01","00","01","02","00",2007,33,2007-08-11,2007-08-17
"9","Matara","04","10","00","01","00","03","05","00",2007,33,2007-08-11,2007-08-17
"10","Jaffna","00","07","00","03","00","00","00","01",2007,33,2007-08-11,2007-08-17
"11","Kilinochchi","00","00","00","01","00","00","00","02",2007,33,2007-08-11,2007-08-17
"12","Mannar","00","00","00","04","00","00","00","01",2007,33,2007-08-11,2007-08-17
"13","Vavuniya","00","01","00","00","02","00","00","01",2007,33,2007-08-11,2007-08-17
"14","Mullaitivu","00","00","00","00","00","00","00","01",2007,33,2007-08-11,2007-08-17
"15","Batticaloa","02","01","00","02","00","00","00","57",2007,33,2007-08-11,2007-08-17
"16","Ampara","00","00","00","00","00","01","00","02",2007,33,2007-08-11,2007-08-17
"17","Trincomalee","01","06","00","00","00","01","02","01",2007,33,2007-08-11,2007-08-17
"18","Kurunagala","13","05","00","01","00","00","00","02",2007,33,2007-08-11,2007-08-17
"19","Puttalam","02","00","01","01","00","01","00","00",2007,33,2007-08-11,2007-08-17
"20","Anuradhapura","00","03","00","00","00","00","00","00",2007,33,2007-08-11,2007-08-17
"21","Polonnaruwa","03","04","00","00","00","00","00","01",2007,33,2007-08-11,2007-08-17
"22","Badulla","01","08","00","01","00","03","06","11",2007,33,2007-08-11,2007-08-17
"23","Monaragala","04","02","00","01","00","00","07","02",2007,33,2007-08-11,2007-08-17
"24","Ratnapura","05","01","01","01","00","04","01","02",2007,33,2007-08-11,2007-08-17
"25","Kegalle","01","00","00","00","00","03","02","05",2007,33,2007-08-11,2007-08-17
"26","Kalmune","0","04","00","00","00","00","00","01",2007,33,2007-08-11,2007-08-17
